,questions,id,questions_preproc
669,Quelle est la durée maximale de la suspension du permis de conduire pour une personne?,163,quel durée maximale suspension permis conduire personne
2415,Quel est le poids maximal autorisé d'une seule remorque?,592,quel poids maximal autorisé seul remorque
4401,Quel est le nom des véhicules qui accompagnent les transports exceptionnels?,1116,quel nom véhiculer accompagner transport exceptionnel
4189,Quelle est la largeur maximale des enseignes publicitaires et des préenseignes visibles sur une autoroute ou une route express?,1059,quel largeur maximale enseigne publicitaire préenseignes visible autoroute route express
2781,Comment le ministre de l'intérieur informe-t-il la réimmatriculation du véhicule?,688,comment ministre intérieur informe réimmatriculation véhicule
302,Quelle est la durée du délai probatoire pour un premier permis de conduire?,73,quel durée délai probatoire premier permis conduire
3898,Quelle est la limite de vitesse d'un engin de service hivernal?,975,quel limite vitesse engin service hivernal
4186,Quelle est la largeur maximale des enseignes publicitaires et préenseignes?,1058,quel largeur maximale enseigne publicitaire préenseignes
2513,Quel est le poids maximal autorisé d'un véhicule à moteur ou d'une remorque?,621,quel poids maximal autorisé véhicule moteur remorque
3771,Qu'est-ce que les feux de signalisation jaunes clignotants?,939,feu signalisation jaune clignotant
2796,Quelle est la vitesse maximale des engins spéciaux?,692,quel vitesse maximale engin spécial
3128,Que vérifie l officier de police judiciaire avant prescrire la mise en fourrière?,779,vérifier officier police judiciaire avant prescrire miser fourrière
2202,Quelle est la longueur maximale d'un ensemble spécialisé dans le transport de véhicules?,536,quel longueur maximale ensemble spécialisé transport véhiculer
2185,Quelle est la hauteur maximale autorisée des cyclomoteurs?,531,quel hauteur maximale autorisé cyclomoteur
4006,Que doit faire un conducteur lorsqu'il s'apprête à quitter une route sur sa gauche?,1007,doit faire conducteur lorsqu apprêter quitter route gauche
2515,Quel est le poids total autorisé en charge d'un véhicule à moteur ou de remorque?,621,quel poids total autorisé charge véhicule moteur remorque
165,Qu'est-ce que l'apprentissage anticipé de la conduite?,40,apprentissage anticipé conduite
3622,Quel est le montant de l'amende prévue pour les contraventions de la quatrième classe?,898,quel montant amende prévoir contravention quatrième classe
663,Quelle est la durée maximale de la suspension du permis de conduire?,161,quel durée maximale suspension permis conduire
3792,Que doivent faire les piétons lorsqu'il y a un passage prévu à leur intention?,944,devoir faire piéton lorsqu passage prévoir intention
3019,Quel est le nom de la liste des gardiens de fourrière agréés par le préfet?,752,quel nom liste gardien fourrière agréé préfet
1660,Quel est l'âge minimal pour conduire un véhicule d une puissance supérieure à 15 kilowatts?,404,quel âge minimal conduire véhicule puissance supérieur kilowatt
2309,Qu'est-ce que la signalisation de freinage d'urgence?,564,signalisation freinage urgence
3945,Que doit signaler la personne physique ou morale qui organise une course ou une compétition sportive aux autres usagers de la chaussée?,989,doit signaler personne physique morale organiser course compétition sportif autre usager chaussé
3576,Quelle est la durée maximale de la suspension du permis de conduire?,886,quel durée maximale suspension permis conduire
2168,Quelle est la longueur maximale autorisée d'un véhicule?,526,quel longueur maximale autorisé véhicule
3840,Qu'est-ce que les contraventions de la deuxième classe?,958,contravention deuxième classe
1890,Qu'est-ce que le ministre de l Intérieur enregistre lors de l'enregistrement du permis de conduire?,458,ministre intérieur enregistrer lors enregistrement permis conduire
2250,"Quelle est la largeur maximale d'un tricycle à moteur, d un quadricycle et d un cyclomoteur à moteur?",549,quel largeur maximale tricycle moteur quadricycle cyclomoteur moteur
2945,Qu'est-ce qui est à la charge du conducteur ou du propriétaire du véhicule pendant l'immobilisation?,732,charge conducteur propriétaire véhicule pendant immobilisation
161,Qu'est-ce que les candidats aux examens du permis de conduire doivent renseigner?,39,candidat examen permis conduire devoir renseigner
2396,Dans quelles conditions peut-on immobiliser un véhicule?,586,quel condition pouvoir immobiliser véhicule
167,Quelle est la durée de l'apprentissage en conduite supervisée par un accompagnateur?,41,quel durée apprentissage conduite superviser accompagnateur
